,mean_nni,sdnn,sdsd,nni_50,nni_20,rmssd,median_nni,range_nni,cvsd,cvnni,mean_hr,max_hr,min_hr,std_hr,encode
0,935.1750000000001,22.284956488947557,30.93077194415334,1,4,31.283678994462434,932.15,69.60000000000002,0.03345221909745495,0.023829717955406803,64.19161908070436,67.37031214911296,62.486981878775254,1.4587352798562516,0
1,936.6125,24.40031835272413,35.39095353104709,1,5,35.45663347164895,932.15,81.10000000000002,0.0378562462829067,0.0260516684890754,64.09917796055333,67.37031214911296,61.747452917567145,1.5820503425477788,0
2,940.75,30.353771241337203,33.5951891599657,1,4,34.66434973942454,932.15,99.10000000000002,0.036847568152457655,0.03226550224962764,63.836964301829596,67.37031214911296,60.624431645953315,1.9251834067278224,0
3,948.4000000000001,34.638294250315354,33.15132896649691,1,3,33.60916116605283,942.5999999999999,100.5,0.03543774901523917,0.036522874578569536,63.33893033701993,67.37031214911296,60.53879527797397,2.1815570287595794,0
4,951.3375000000001,35.99583061173297,21.64449310177195,0,2,24.838995838916567,952.25,100.5,0.026109551908672333,0.03783707739023529,63.14930148280944,67.37031214911296,60.53879527797397,2.267140177462052,0
5,952.9124999999999,33.11932700748269,33.162186481667604,1,2,33.43069590318796,952.25,87.89999999999998,0.03508265019420772,0.03475589522383502,63.03182114441832,66.43046944198406,60.53879527797397,2.0602826191477774,0
6,950.85,35.01052902852432,33.721960385554354,1,2,33.79179951239226,951.6,87.89999999999998,0.035538517655142515,0.036820244022216245,63.176604615268076,66.43046944198406,60.53879527797397,2.1829405584516994,0
7,953.7,34.127199039559564,36.482906257308926,1,3,36.68473797098733,963.0,87.89999999999998,0.03846569987520953,0.03578399815409412,62.98423860958112,66.43046944198406,60.53879527797397,2.132809039779722,0
8,957.4000000000001,32.43089356065999,32.58904285623793,1,2,32.65663354183515,964.35,87.89999999999998,0.03410970706270644,0.03387392266624189,62.73410390866448,66.43046944198406,60.53879527797397,2.032240802012871,0
9,946.6875,40.24522819983934,38.998074259101124,2,3,41.71705714863952,955.65,105.10000000000002,0.04406634411951094,0.042511629444604834,63.48068358065029,67.72009029345372,60.53879527797397,2.560945914525969,0
10,936.525,38.03643929557174,40.89175357213334,2,4,42.564220386879576,935.3,105.10000000000002,0.04544910214556961,0.04061444093384772,64.15890439373044,67.72009029345372,60.53879527797397,2.4298125971294655,0
11,926.2625,31.767096072148963,41.07821310423243,2,4,42.17533131379728,912.65,89.89999999999998,0.04553280664368608,0.034295997162952147,64.84238006649194,67.72009029345372,61.48170919151553,2.05558974439044,0
12,917.975,24.866313989583794,31.98331835599965,1,3,31.996383724236257,909.3,71.0,0.03485539772241755,0.027088225702860964,65.40254900330449,67.72009029345372,62.69592476489028,1.629996012144253,0
13,912.05,33.155305543974194,36.57930160791004,2,4,37.58649073422906,909.3,101.20000000000005,0.04121099800913224,0.03635250868260972,65.86247016647783,70.10983874737089,62.69592476489028,2.2545740310674267,0
14,904.3125,38.769333886462384,31.671199818749916,2,3,34.738142889748325,908.7,102.60000000000002,0.03841387008334876,0.042871611181380755,66.45546783541263,70.2247191011236,62.69592476489028,2.663061178873139,0
15,896.925,33.0996655140631,36.953473228824805,2,4,37.99345808350246,901.8,102.60000000000002,0.04235968234077817,0.0369034930613631,66.97432013623023,70.2247191011236,62.69592476489028,2.2932787518335846,0
16,898.2625,35.966052942819786,36.579100757740065,2,4,38.39600053577011,901.8,113.30000000000007,0.042744743920368616,0.04003957968057197,66.8876653885057,70.2247191011236,62.00268678309393,2.4603205672985933,0
17,900.9125,35.71360035056676,43.87979405752281,3,4,43.88012892284748,907.8,113.30000000000007,0.04870631601054207,0.0396415860037093,66.68984986901974,70.2247191011236,62.00268678309393,2.44903267069026,0
18,904.5875,38.03158227052881,45.19128957068193,3,5,45.37818859319972,908.1,113.30000000000007,0.05016450989340414,0.04204301106363819,66.43101591913337,70.2247191011236,62.00268678309393,2.607269314640885,0
19,937.95,103.37957797774737,93.33097567478963,4,6,100.78655664323496,908.4000000000001,321.5000000000001,0.10745408245986988,0.1102186448933817,64.55828421191214,70.2247191011236,51.02474700229611,5.739107372672015,0
20,913.8125,130.0476773835548,198.74152632430471,4,6,199.73533559616914,901.2,459.4000000000001,0.21857365224941563,0.1423133053920304,66.78045221932135,83.7404047452896,51.02474700229611,8.587599587996547,0
21,919.15,128.18953601155263,211.15452703106865,5,7,211.24848942824255,902.85,459.4000000000001,0.22983026647254806,0.13946530600179802,66.36396778491502,83.7404047452896,51.02474700229611,8.496340761902635,0
22,920.0,127.72054315127676,211.10017159865035,5,7,211.15604250343938,902.85,459.4000000000001,0.22951743750373846,0.1388266773383443,66.29465634595084,83.7404047452896,51.02474700229611,8.466773081460769,0
23,915.9124999999999,129.14294889772344,208.8309481325965,4,6,209.3710172329085,902.85,459.4000000000001,0.22859281561602068,0.14099922088378908,66.612292434073,83.7404047452896,51.02474700229611,8.53556727379454,0
24,907.1875,127.49162927704035,208.5439707953746,3,6,208.54820271856306,898.2,459.4000000000001,0.22988434333427551,0.1405350374393831,67.2147798404462,83.7404047452896,51.02474700229611,8.357175809040829,0
25,904.5375,127.71147098608088,208.14431806527213,3,5,208.27581987080777,891.95,459.4000000000001,0.23025670010453714,0.14118980250800092,67.41259535993214,83.7404047452896,51.02474700229611,8.348061163228172,0
26,901.875,127.13970662228228,184.4984464289439,2,5,188.18317823713303,891.95,459.4000000000001,0.2086577166870498,0.14097264767543427,67.59846059664068,83.7404047452896,51.02474700229611,8.28587775043085,0
27,872.55,68.38600525170126,65.72426011258658,1,5,73.15056878989878,891.95,224.79999999999995,0.08383538913517712,0.07837488424927083,69.18807146017232,83.7404047452896,63.74163391054925,5.801060128978607,0
28,904.725,38.49841369644801,25.58915586648342,0,5,27.763799657621984,898.2,112.69999999999993,0.030687556614023028,0.042552613994802854,66.4215168624932,69.67022758941012,61.60796796385666,2.590254794378625,0
29,907.4250000000001,38.756041003767564,30.245067062789794,1,5,31.39369818473581,907.2,112.69999999999993,0.03459646602720424,0.042709911016081285,66.22555935696693,69.67022758941012,61.60796796385666,2.6150561387927045,0
30,915.525,34.22116095550904,30.13311961877135,1,5,31.468964302717577,918.3,111.39999999999998,0.03437258873620882,0.03737872909588383,65.61613296012652,69.56521739130434,61.60796796385666,2.2890563214525015,0
31,924.8125,27.12017896590759,28.232142631246028,1,4,28.773872076689877,923.05,87.89999999999998,0.031113195460366158,0.02932505666381844,64.9264585829684,67.72009029345372,61.60796796385666,1.7669661506395578,0
32,926.8,25.393812519700813,29.453436097664103,1,5,29.71997885021357,923.05,87.89999999999998,0.03206730562172375,0.02739945243817524,64.78112055523505,67.72009029345372,61.60796796385666,1.64890039890007,0
33,930.5375,20.200207742920433,27.404505811554223,1,4,27.404639857408903,923.05,60.10000000000002,0.02945033365921191,0.02170810713476935,64.50477615358444,65.65988181221275,61.60796796385666,1.2763621963234753,0
34,927.0874999999999,24.77829911722871,26.66942757816407,1,4,27.700077359355607,923.05,85.0,0.029878600843346082,0.026727033982475994,64.75886463050631,67.49915626054674,61.60796796385666,1.6030367527507863,0
35,918.3,30.761292932143515,21.09867971495574,1,3,25.714670632039695,918.0,102.89999999999998,0.028002472647326252,0.03349808660801864,65.40195258456939,68.88633754305395,61.60796796385666,2.0387064531909727,0
36,900.5374999999999,34.82740864401403,17.554277343748,0,3,21.616495024468176,914.8499999999999,105.0,0.024003992087467958,0.03867402372917733,66.7175471156562,72.1327242125511,64.04782237403928,2.507818964316772,0
37,895.775,34.372195989532834,27.97848298611064,1,4,28.675873383137176,901.3499999999999,105.0,0.03201236179078137,0.03837146157185994,67.06966057271165,72.1327242125511,64.04782237403928,2.468927186529332,0
38,895.3625,33.97515636461443,32.221529119138836,1,5,32.28442791369064,901.3499999999999,105.0,0.036057382248743546,0.03794569949558355,67.09862758449346,72.1327242125511,64.04782237403928,2.4432937178591767,0
39,892.0999999999999,30.503395595525816,31.41795924730484,1,4,31.421080276054916,899.8,90.90000000000009,0.035221477722290014,0.03419279856016794,67.32807308849621,72.1327242125511,65.02655250894115,2.2222092135138656,0
40,893.875,32.30637929043031,32.0378220360924,1,4,32.084419895020716,899.8,96.20000000000005,0.03589363154246479,0.036141942990273034,67.20248441369375,72.1327242125511,64.65517241379311,2.338297085211218,0
41,900.9625,42.454309473328436,32.65669291028619,1,4,34.77690120098194,899.8,140.80000000000007,0.0385997210771613,0.04712106161280679,66.7251068562382,72.1327242125511,61.69031462060456,2.946082410873394,0
42,909.775,46.697713312018074,32.079130478317204,1,4,34.475374233957645,916.7,140.80000000000007,0.0378943961242699,0.051328859676313454,66.10509818983621,72.1327242125511,61.69031462060456,3.2265216749254,0
43,914.025,44.141873544289,35.81124552598597,2,4,37.30679754223275,916.7,140.80000000000007,0.04081594873469845,0.04829394550946527,65.78159881463402,72.1327242125511,61.69031462060456,3.056721553061302,0
44,925.125,29.12077069231317,32.18928076112245,1,3,32.65818646001556,921.6500000000001,90.60000000000002,0.0353013770679806,0.03147766052405153,64.91186903105884,68.02721088435374,61.69031462060456,1.8950013436499509,0
45,932.1,23.445438179496048,29.453782543545213,1,2,29.53266956149699,925.35,67.60000000000002,0.03168401412026284,0.025153350691445173,64.40590848945257,66.29834254143647,61.69031462060456,1.4934933804035297,0
46,929.4124999999999,25.791717247430963,32.26656195519074,1,3,32.29509029470046,924.3,71.39999999999998,0.0347478544722612,0.027750559893944794,64.59982644314518,66.57789613848202,61.69031462060456,1.6536201870807659,0
47,928.725,26.42724514046602,31.49434675542612,1,3,31.662325516974523,924.3,71.39999999999998,0.0340922506845132,0.028455404065214157,64.64986491879051,66.57789613848202,61.69031462060456,1.6971863286990123,0
48,929.9124999999999,26.602869743157935,29.021294082174897,1,3,29.451291506970787,929.05,71.39999999999998,0.03167103518553712,0.02860792788908412,64.56796836706638,66.57789613848202,61.69031462060456,1.7107078708929098,0
